Δt (hr),p̄ws (psia)
834.0,2605.93
835.0,2605.93
836.0,2605.93
837.0,2605.93
838.0,2605.93
839.0,2605.93
840.0,2605.93
841.0,2605.93
842.0,2605.93
843.0,2605.93
844.0,2605.93
845.0,2605.93
846.0,2605.93
847.0,2605.93
848.0,2605.93
849.0,2605.93
850.0,2605.93
851.0,2605.93
852.0,2605.93
853.0,2605.93
854.0,2605.93
855.0,2605.93
856.0,2605.93
857.0,2605.93
858.0,2605.93
859.0,2605.93
860.0,2605.93
861.0,2605.93
862.0,2605.93
863.0,2605.93
864.0,2605.93
865.0,2605.93
866.0,2605.93
867.0,2605.93
868.0,2605.93
869.0,2605.93
870.0,2605.93
871.0,2605.93
872.0,2605.93
873.0,2605.93
874.0,2605.93
875.0,2605.93
876.0,2605.93
877.0,2605.93
878.0,2605.93
879.0,2605.93
880.0,2605.93
881.0,2605.93
882.0,2605.93
883.0,2605.93
884.0,2605.93
885.0,2605.93
886.0,2605.93
887.0,2605.93
888.0,2605.93
889.0,2605.93
890.0,2605.93
891.0,2605.93
892.0,2605.93
893.0,2605.93
894.0,2605.93
895.0,2605.93
896.0,2605.93
897.0,2605.93
898.0,2605.93
899.0,2605.93
900.0,2605.93
901.0,2605.93
902.0,2605.93
903.0,2605.93
904.0,2605.93
905.0,2605.93
906.0,2605.93
907.0,2605.93
908.0,2605.93
909.0,2605.93
910.0,2605.93
911.0,2605.93
912.0,2605.93
913.0,2605.93
914.0,2605.93
915.0,2605.93
916.0,2605.93
917.0,2605.93
918.0,2605.93
919.0,2605.93
920.0,2605.93
921.0,2605.93
922.0,2605.93
923.0,2605.93
924.0,2605.93
925.0,2605.93
926.0,2605.93
927.0,2605.93
928.0,2605.93
929.0,2605.93
930.0,2605.93
931.0,2605.93
932.0,2605.93
933.0,2605.93
934.0,2605.93
935.0,2605.93
936.0,2605.93
937.0,2605.93
938.0,2605.93
939.0,2605.93
940.0,2605.93
941.0,2605.93
942.0,2605.93
943.0,2605.93
944.0,2605.93
945.0,2605.93
946.0,2605.93
947.0,2605.93
948.0,2605.93
949.0,2605.93
950.0,2605.93
951.0,2605.93
952.0,2605.93
953.0,2605.93
954.0,2605.93
955.0,2605.93
956.0,2605.93
957.0,2605.93
958.0,2605.93
959.0,2605.93
960.0,2605.93
961.0,2605.93
962.0,2605.93
963.0,2605.93
964.0,2605.93
965.0,2605.93
966.0,2605.93
967.0,2605.93
968.0,2605.93
969.0,2605.93
970.0,2605.93
971.0,2605.93
972.0,2605.93
973.0,2605.93
974.0,2605.93
975.0,2605.93
976.0,2605.93
977.0,2605.93
978.0,2605.93
979.0,2605.93
980.0,2605.93
981.0,2605.93
982.0,2605.93
983.0,2605.93
984.0,2605.93
985.0,2605.93
986.0,2605.93
987.0,2605.93
988.0,2605.93
989.0,2605.93
990.0,2605.93
991.0,2605.93
992.0,2605.93
993.0,2605.93
994.0,2605.93
995.0,2605.93
996.0,2605.93
997.0,2605.93
998.0,2605.93
999.0,2605.93
1000.0,2605.93
1001.0,2605.93
1002.0,2605.93
1003.0,2605.93
1004.0,2605.93
1005.0,2605.93
1006.0,2605.93
1007.0,2605.93
1008.0,2605.93
1009.0,2605.93
1010.0,2605.93
1011.0,2605.93
1012.0,2605.93
1013.0,2605.93
1014.0,2605.93
1015.0,2605.93
1016.0,2605.93
1017.0,2605.93
1018.0,2605.93
1019.0,2605.93
1020.0,2605.93
1021.0,2605.93
1022.0,2605.93
1023.0,2605.93
1024.0,2605.93
1025.0,2605.93
1026.0,2605.93
1027.0,2605.93
1028.0,2605.93
1029.0,2605.93
1030.0,2605.93
1031.0,2605.93
1032.0,2605.93
1033.0,2605.93
1034.0,2605.93
1035.0,2605.93
1036.0,2605.93
1037.0,2605.93
1038.0,2605.93
1039.0,2605.93
1040.0,2605.93
1041.0,2605.93
1042.0,2605.93
1043.0,2605.93
1044.0,2605.93
1045.0,2605.93
1046.0,2605.93
1047.0,2605.93
1048.0,2605.93
1049.0,2605.93
1050.0,2605.93
1051.0,2605.93
1052.0,2605.93
1053.0,2605.93
1054.0,2605.93
1055.0,2605.93
1056.0,2605.93
1057.0,2605.93
1058.0,2605.93
1059.0,2605.93
1060.0,2605.93
1061.0,2605.93
1062.0,2605.93
1063.0,2605.93
1064.0,2605.93
1065.0,2605.93
1066.0,2605.93
1067.0,2605.93
1068.0,2605.93
1069.0,2605.93
